experiment,class,tp,tn,fp,fn,(hybrid)accuracy,(hybrid)precision,(hybrid)recall,(hybrid)f1,(hybrid)mcc
max_u_regressor_sparse,lr,3151,297203,5344,1798,0.9739388344436984,0.2664849347476646,0.48156008569115705,0.3431037023338705,0.34610190583197126
max_u_regressor_sparse,gb,3410,299857,2690,1539,0.9839599925137108,0.44149277885604005,0.5677216336480079,0.49671308405922,0.49268655068274286
max_u_regressor_sparse,xgb,4550,292244,10303,399,0.9604633455323366,0.23075203560395605,0.8820305049386847,0.3658043275555645,0.43964864086877975
max_u_regressor_sparse,svr,4615,275913,26634,334,0.9043888231134294,0.10740087453183772,0.8989874323474157,0.19187829541987728,0.29179600999400607
max_u_regressor_sparse,mlp,4948,217055,85492,1,0.562262038752217,0.00849684752759214,0.9992753503297586,0.016850415813981463,0.06895345302395842
max_u_regressor_focused,lr,4321,297379,5168,628,0.9774674359203382,0.36641316017890824,0.8228443238508841,0.5070407259760856,0.5403577159828515
max_u_regressor_focused,gb,4523,249361,53186,426,0.7982202561112404,0.05392545642515835,0.8789135506990459,0.10161627894574529,0.187374770380345
max_u_regressor_focused,xgb,4660,179741,122806,289,0.5545762469205195,0.025552353351137286,0.9195460556258593,0.04972300347310901,0.10542914902215486
max_u_regressor_focused,svr,4940,249296,53251,9,0.8087360474067439,0.06307258128537185,0.997519041395136,0.1186434052026333,0.2250879367732855
max_u_regressor_focused,mlp,3713,204413,98134,1236,0.6358060712174549,0.02387560536186104,0.6311363224786574,0.04601064843114007,0.06486122797064096
max_u_filtered_regressor,lr,3151,89191,5344,1798,0.918805260346573,0.2664849347476646,0.48156008569115705,0.3431037023338705,0.3187930575204781
max_u_filtered_regressor,gb,3356,91872,2663,1593,0.9499248196256231,0.4391973722093123,0.5520246454557662,0.4891896454238568,0.46656974979401405
max_u_filtered_regressor,xgb,4949,128,94407,0,0.03766624774318013,0.03654627073111256,1.0,0.07051546421624803,0.006640268659157308
max_u_filtered_regressor,svr,4443,46628,47907,506,0.4817765749777961,0.06025919006649561,0.8429857898338354,0.11247810298056082,0.12049617984304832
max_u_filtered_regressor,mlp,4949,549,93986,0,0.010538165571247265,0.007693288690377489,1.0,0.015269107726966947,0.004714514737126025
max_u_regressor_balanced,lr,4521,280815,21732,428,0.9179115424409193,0.1259997643286342,0.8777573884896679,0.22036649756743626,0.31449163939909475
max_u_regressor_balanced,gb,4090,297475,5072,859,0.9776466680246015,0.35234048425915976,0.7597238443925993,0.4814136382938382,0.508296539575622
max_u_regressor_balanced,xgb,4448,293409,9138,501,0.9637174980464829,0.25097028470030547,0.8573536445663135,0.38828050641842765,0.4525221121320014
max_u_regressor_balanced,svr,4222,287934,14613,727,0.9443650357877834,0.17475186836897066,0.7981452702872885,0.28672584525267153,0.3575870035224473
max_u_regressor_balanced,mlp,4948,213184,89363,1,0.5458780191650509,0.00808679370582238,0.9992740973688472,0.016043750660943105,0.06627368919423594
max_u_classifier,lr,,,,,,,,,
max_u_classifier,gb,2487,92303,2232,2462,0.9528165333118893,0.5270184361093452,0.5025257627803597,0.514480761274307,0.489852045194258
max_u_classifier,xgb,1817,93214,1321,3132,0.955239033412408,0.5790312300828553,0.3671448777530814,0.4493631754667985,0.4393362404795649
max_u_classifier,svr,0,94535,0,4949,0.9502533070644525,0,0.0,0,-1.0
max_u_classifier,mlp,3902,58964,35571,1047,0.6319207108680793,0.09885238010792187,0.7884421095170742,0.175678717752465,0.18317433600067204
max_u_classifier_balanced,lr,,,,,,,,,
max_u_classifier_balanced,gb,3499,91026,3509,1450,0.9501527883880825,0.4992865296803653,0.7070115174782784,0.5852638621727858,0.5691790541327496
max_u_classifier_balanced,xgb,3158,92054,2481,1791,0.9570584214547063,0.5600283738251463,0.6381087088300667,0.59652436720816,0.5753122918683226
max_u_classifier_balanced,svr,3956,89928,4607,993,0.9437095412327611,0.4619876211608081,0.7993534047282279,0.5855535820011841,0.5818756388686577
max_u_classifier_balanced,mlp,4041,58329,36206,908,0.6269349845201239,0.10040499913036996,0.8165285916346736,0.17882113461368263,0.1920521136506533
min_u_regressor_sparse,lr,2553,297508,3966,3469,0.9724676311539071,0.3074668461585731,0.3154538842447742,0.31140916063078944,0.29738996150957553
min_u_regressor_sparse,gb,5039,294582,6892,983,0.970974394077834,0.35398329314576704,0.7879454059596155,0.4885059983853212,0.5165714056605131
min_u_regressor_sparse,xgb,4781,294780,6694,1241,0.970683526778819,0.3455986715872606,0.7313145491416916,0.46938106400945995,0.49051689940881155
min_u_regressor_sparse,svr,5502,281219,20255,520,0.925053463579112,0.1742631619730098,0.8909694836618133,0.2915103289044221,0.3749892864297473
min_u_regressor_sparse,mlp,6014,232123,69351,8,0.6299518686784688,0.009394247555806173,0.9932272919744332,0.018612452839109166,0.07627874121267059
min_u_regressor_focused,lr,5877,244952,56522,145,0.7808458462027419,0.06765431882641199,0.9685481595825978,0.12647425064596501,0.2235755141661953
min_u_regressor_focused,gb,5592,259564,41910,430,0.8394819164055517,0.08832530988281154,0.908282172965378,0.16099478635044684,0.25403826077616154
min_u_regressor_focused,xgb,5628,252109,49365,394,0.8080550591451291,0.07395377552328472,0.9151904499432774,0.13684918205782326,0.22819289278309093
min_u_regressor_focused,svr,5975,253411,48063,47,0.8223880927517652,0.08539303666466312,0.9902494409229986,0.15722771939156402,0.26265144308495686
min_u_regressor_focused,mlp,4106,222759,78715,1916,0.7026867324527708,0.035523703081482526,0.5857265252080989,0.06698484514276012,0.08477676374212308
min_u_filtered_regressor,lr,2553,80452,3966,3469,0.9058890810761082,0.30746684615857317,0.3154538842447746,0.31140916063078966,0.26093589230830566
min_u_filtered_regressor,gb,4993,77816,6602,1029,0.9037493844191341,0.3607754623418663,0.7782890938008417,0.493014388231833,0.48824955702905454
min_u_filtered_regressor,xgb,4936,78434,5984,1086,0.9111411062689437,0.3827139442909854,0.7681098499077627,0.5108798615197705,0.502496468023216
min_u_filtered_regressor,svr,5369,66433,17985,653,0.7703053606641492,0.18686800730739234,0.8617715642521019,0.30713610154245125,0.3316805421868334
min_u_filtered_regressor,mlp,4709,31253,35197,1193,0.18175882000883903,0.015307832014046854,0.3936792431218754,0.02946976121005282,-0.19286385241979728
min_u_regressor_balanced,lr,5117,282366,19108,905,0.9269005677043946,0.1659261800881801,0.8047431113892252,0.2751255275045428,0.3450495473348067
min_u_regressor_balanced,gb,4997,292064,9410,1025,0.9614390515923935,0.2845261944042754,0.7781399916352764,0.4166900451757095,0.4564030223694683
min_u_regressor_balanced,xgb,5316,289858,11616,706,0.9543709406262615,0.2559664354391879,0.8461981001046753,0.39304169998960525,0.45069274017538385
min_u_regressor_balanced,svr,5366,283756,17718,656,0.9332439816958373,0.19410670043292935,0.8675997692990528,0.3172382071996276,0.3919413522518754
min_u_regressor_balanced,mlp,6015,226077,75397,7,0.6012438620059687,0.008336399604035934,0.993896218613262,0.01653411771418518,0.07021256793352366
min_u_classifier,lr,,,,,,,,,
min_u_classifier,gb,4068,81151,3267,1954,0.9422711189739054,0.554601226993865,0.6755230820325473,0.6091188141049636,0.5815577882852735
min_u_classifier,xgb,4167,80534,3884,1855,0.9365435647943388,0.5175754564650354,0.6919628030554633,0.5921978256235345,0.5654962611463665
min_u_classifier,svr,2965,82965,1453,3057,0.9501326846528085,0.671118153010412,0.4923613417469279,0.5680076628352491,0.5495414327411526
min_u_classifier,mlp,5320,50125,34293,702,0.6130583812472358,0.13429934617423572,0.8834274327465959,0.2331543771228224,0.23978457190784147
min_u_classifier_balanced,lr,,,,,,,,,
min_u_classifier_balanced,gb,4379,77799,6619,1643,0.9086466165413534,0.3981633024186216,0.727167054134839,0.5145710928319625,0.49486844678579717
min_u_classifier_balanced,xgb,4395,77766,6652,1627,0.9084586466165413,0.3978455689327419,0.7298239787446031,0.5149686566289765,0.4956472491728928
min_u_classifier_balanced,svr,4931,79390,5028,1091,0.9323418841220699,0.495130033135857,0.8188309531717037,0.617107815530943,0.6046857155867899
min_u_classifier_balanced,mlp,5328,46466,37952,694,0.5726890756302521,0.12310536044362293,0.8847558950514779,0.21613727637824026,0.21718500158832393
